文件名,预测,P(good),路径
row010_img2.webp,good,0.9998,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row010_img2.webp
row012_img1.webp,good,0.9997,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row012_img1.webp
row012_img2.webp,good,0.9990,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row012_img2.webp
row005_img2.webp,good,0.9982,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row005_img2.webp
row002_img1.webp,good,0.9971,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row002_img1.webp
row008_img1.webp,good,0.9967,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row008_img1.webp
row004_img1.webp,good,0.9192,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row004_img1.webp
row005_img1.webp,good,0.8497,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row005_img1.webp
row010_img1.webp,bad,0.4007,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row010_img1.webp
row004_img2.webp,bad,0.3356,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row004_img2.webp
row011_img1.webp,bad,0.2704,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row011_img1.webp
row008_img2.webp,bad,0.0746,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row008_img2.webp
row007_img1.webp,bad,0.0570,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row007_img1.webp
row009_img1.webp,bad,0.0150,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row009_img1.webp
row006_img1.webp,bad,0.0111,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row006_img1.webp
row014_img1.webp,bad,0.0007,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row014_img1.webp
row014_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row014_img2.webp
row015_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row015_img2.webp
row006_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row006_img2.webp
row015_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row015_img1.webp
row016_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row016_img1.webp
row013_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row013_img1.webp
row003_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\douyin\row003_img1.webp
