文件名,预测,P(good),路径
row014_img2.webp,good,0.9997,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row014_img2.webp
row014_img1.webp,good,0.9996,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row014_img1.webp
row027_img1.webp,good,0.9986,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row027_img1.webp
row021_img1.webp,good,0.9877,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row021_img1.webp
row017_img1.webp,good,0.9843,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row017_img1.webp
row027_img2.webp,good,0.9116,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row027_img2.webp
row050_img1.webp,good,0.7803,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row050_img1.webp
row042_img2.webp,good,0.6862,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row042_img2.webp
row044_img1.webp,good,0.6195,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row044_img1.webp
row019_img2.webp,bad,0.2676,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row019_img2.webp
row049_img1.webp,bad,0.2023,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row049_img1.webp
row003_img1.webp,bad,0.1141,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row003_img1.webp
row036_img1.webp,bad,0.1120,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row036_img1.webp
row033_img2.webp,bad,0.0582,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row033_img2.webp
row030_img1.webp,bad,0.0576,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row030_img1.webp
row032_img2.webp,bad,0.0575,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row032_img2.webp
row032_img1.webp,bad,0.0213,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row032_img1.webp
row045_img2.webp,bad,0.0210,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row045_img2.webp
row040_img1.webp,bad,0.0080,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row040_img1.webp
row020_img2.webp,bad,0.0052,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row020_img2.webp
row022_img1.webp,bad,0.0034,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row022_img1.webp
row035_img1.webp,bad,0.0026,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row035_img1.webp
row042_img1.webp,bad,0.0018,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row042_img1.webp
row048_img1.webp,bad,0.0006,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row048_img1.webp
row007_img2.webp,bad,0.0003,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row007_img2.webp
row009_img1.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row009_img1.webp
row031_img1.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row031_img1.webp
row049_img2.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row049_img2.webp
row016_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row016_img2.webp
row020_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row020_img1.webp
row045_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row045_img1.webp
row047_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row047_img1.webp
row022_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row022_img2.webp
row047_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row047_img2.webp
row039_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row039_img1.webp
row028_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row028_img2.webp
row033_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row033_img1.webp
row023_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row023_img1.webp
row007_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row007_img1.webp
row010_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row010_img1.webp
row011_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row011_img1.webp
row043_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row043_img2.webp
row019_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row019_img1.webp
row012_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row012_img2.webp
row002_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row002_img2.webp
row029_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row029_img1.webp
row015_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row015_img1.webp
row016_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row016_img1.webp
row028_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row028_img1.webp
row048_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row048_img2.webp
row013_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row013_img1.webp
row015_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row015_img2.webp
row021_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row021_img2.webp
row013_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row013_img2.webp
row043_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row043_img1.webp
row004_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\xhs\row004_img2.webp
