文件名,预测,P(good),路径
row063_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row063_img1.webp
row014_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row014_img2.webp
row134_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row134_img2.webp
row063_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row063_img2.webp
row003_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row003_img1.webp
row038_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row038_img2.webp
row050_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row050_img1.webp
row081_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row081_img1.webp
row153_img2.webp,good,0.9999,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row153_img2.webp
row100_img2.webp,good,0.9999,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row100_img2.webp
row118_img1.webp,good,0.9997,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row118_img1.webp
row134_img1.webp,good,0.9991,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row134_img1.webp
row023_img2.webp,good,0.9985,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row023_img2.webp
row038_img1.webp,good,0.9975,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row038_img1.webp
row008_img1.webp,good,0.9964,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row008_img1.webp
row009_img1.webp,good,0.9956,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row009_img1.webp
row146_img2.webp,good,0.9947,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row146_img2.webp
row052_img1.webp,good,0.9940,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row052_img1.webp
row051_img2.webp,good,0.9932,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row051_img2.webp
row135_img2.webp,good,0.9909,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row135_img2.webp
row099_img2.webp,good,0.9889,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row099_img2.webp
row040_img1.webp,good,0.9859,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row040_img1.webp
row085_img1.webp,good,0.9857,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row085_img1.webp
row007_img1.webp,good,0.9849,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row007_img1.webp
row099_img1.webp,good,0.9849,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row099_img1.webp
row151_img2.webp,good,0.9848,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row151_img2.webp
row049_img1.webp,good,0.9811,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row049_img1.webp
row037_img1.webp,good,0.9809,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row037_img1.webp
row085_img2.webp,good,0.9804,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row085_img2.webp
row055_img2.webp,good,0.9804,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row055_img2.webp
row042_img2.webp,good,0.9802,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row042_img2.webp
row040_img2.webp,good,0.9704,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row040_img2.webp
row007_img2.webp,good,0.9699,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row007_img2.webp
row033_img2.webp,good,0.9481,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row033_img2.webp
row050_img2.webp,good,0.9421,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row050_img2.webp
row146_img1.webp,good,0.9281,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row146_img1.webp
row070_img1.webp,good,0.9073,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row070_img1.webp
row089_img1.webp,good,0.9067,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row089_img1.webp
row093_img1.webp,good,0.8380,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row093_img1.webp
row064_img2.webp,good,0.8110,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row064_img2.webp
row042_img1.webp,good,0.7874,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row042_img1.webp
row157_img1.webp,good,0.7439,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row157_img1.webp
row051_img1.webp,good,0.7329,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row051_img1.webp
row036_img2.webp,good,0.7164,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row036_img2.webp
row119_img2.webp,good,0.7080,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row119_img2.webp
row097_img1.webp,good,0.6257,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row097_img1.webp
row048_img1.webp,good,0.5944,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row048_img1.webp
row157_img2.webp,good,0.5399,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row157_img2.webp
row133_img2.webp,bad,0.3575,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row133_img2.webp
row036_img1.webp,bad,0.3263,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row036_img1.webp
row073_img2.webp,bad,0.3107,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row073_img2.webp
row117_img1.webp,bad,0.2551,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row117_img1.webp
row117_img2.webp,bad,0.2442,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row117_img2.webp
row135_img1.webp,bad,0.2211,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row135_img1.webp
row060_img1.webp,bad,0.1573,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row060_img1.webp
row104_img2.webp,bad,0.1556,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row104_img2.webp
row021_img1.webp,bad,0.1259,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row021_img1.webp
row154_img2.webp,bad,0.0932,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row154_img2.webp
row089_img2.webp,bad,0.0921,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row089_img2.webp
row009_img2.webp,bad,0.0887,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row009_img2.webp
row160_img2.webp,bad,0.0819,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row160_img2.webp
row013_img2.webp,bad,0.0740,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row013_img2.webp
row084_img1.webp,bad,0.0590,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row084_img1.webp
row143_img2.webp,bad,0.0561,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row143_img2.webp
row076_img1.webp,bad,0.0486,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row076_img1.webp
row010_img1.webp,bad,0.0484,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row010_img1.webp
row049_img2.webp,bad,0.0460,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row049_img2.webp
row005_img1.webp,bad,0.0449,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row005_img1.webp
row094_img1.webp,bad,0.0420,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row094_img1.webp
row136_img1.webp,bad,0.0373,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row136_img1.webp
row015_img2.webp,bad,0.0357,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row015_img2.webp
row093_img2.webp,bad,0.0340,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row093_img2.webp
row058_img1.webp,bad,0.0323,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row058_img1.webp
row023_img1.webp,bad,0.0305,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row023_img1.webp
row161_img1.webp,bad,0.0235,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row161_img1.webp
row144_img1.webp,bad,0.0224,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row144_img1.webp
row145_img1.webp,bad,0.0203,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row145_img1.webp
row144_img2.webp,bad,0.0168,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row144_img2.webp
row055_img1.webp,bad,0.0141,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row055_img1.webp
row128_img2.webp,bad,0.0131,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row128_img2.webp
row160_img1.webp,bad,0.0102,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row160_img1.webp
row013_img1.webp,bad,0.0102,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row013_img1.webp
row046_img2.webp,bad,0.0092,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row046_img2.webp
row032_img1.webp,bad,0.0089,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row032_img1.webp
row008_img2.webp,bad,0.0086,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row008_img2.webp
row138_img2.webp,bad,0.0068,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row138_img2.webp
row151_img1.webp,bad,0.0066,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row151_img1.webp
row104_img1.webp,bad,0.0062,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row104_img1.webp
row045_img1.webp,bad,0.0052,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row045_img1.webp
row030_img2.webp,bad,0.0039,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row030_img2.webp
row052_img2.webp,bad,0.0037,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row052_img2.webp
row033_img1.webp,bad,0.0033,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row033_img1.webp
row048_img2.webp,bad,0.0026,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row048_img2.webp
row062_img1.webp,bad,0.0021,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row062_img1.webp
row076_img2.webp,bad,0.0018,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row076_img2.webp
row075_img1.webp,bad,0.0014,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row075_img1.webp
row024_img2.webp,bad,0.0014,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row024_img2.webp
row143_img1.webp,bad,0.0014,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row143_img1.webp
row161_img2.webp,bad,0.0013,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row161_img2.webp
row092_img1.webp,bad,0.0011,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row092_img1.webp
row070_img2.webp,bad,0.0010,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row070_img2.webp
row014_img1.webp,bad,0.0008,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row014_img1.webp
row084_img2.webp,bad,0.0006,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row084_img2.webp
row010_img2.webp,bad,0.0004,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row010_img2.webp
row003_img2.webp,bad,0.0003,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row003_img2.webp
row113_img1.webp,bad,0.0003,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row113_img1.webp
row153_img1.webp,bad,0.0003,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row153_img1.webp
row145_img2.webp,bad,0.0002,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row145_img2.webp
row163_img1.webp,bad,0.0002,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row163_img1.webp
row080_img1.webp,bad,0.0002,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row080_img1.webp
row133_img1.webp,bad,0.0002,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row133_img1.webp
row005_img2.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row005_img2.webp
row092_img2.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row092_img2.webp
row004_img1.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row004_img1.webp
row083_img1.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row083_img1.webp
row112_img2.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row112_img2.webp
row128_img1.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row128_img1.webp
row165_img1.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row165_img1.webp
row094_img2.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row094_img2.webp
row088_img1.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row088_img1.webp
row075_img2.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row075_img2.webp
row100_img1.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row100_img1.webp
row025_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row025_img2.webp
row074_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row074_img2.webp
row096_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row096_img1.webp
row106_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row106_img1.webp
row142_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row142_img1.webp
row060_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row060_img2.webp
row053_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row053_img1.webp
row127_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row127_img2.webp
row113_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row113_img2.webp
row106_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row106_img2.webp
