文件名,预测,P(good),路径
row389_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row389_img2.webp
row081_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row081_img1.webp
row377_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row377_img1.webp
row446_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row446_img2.webp
row099_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row099_img2.webp
row363_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row363_img2.webp
row052_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row052_img1.webp
row056_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row056_img2.webp
row111_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row111_img2.webp
row103_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row103_img1.webp
row025_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row025_img2.webp
row033_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row033_img2.webp
row136_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row136_img2.webp
row202_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row202_img1.webp
row023_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row023_img1.webp
row377_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row377_img2.webp
row038_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row038_img1.webp
row312_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row312_img1.webp
row389_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row389_img1.webp
row319_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row319_img1.webp
row069_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row069_img2.webp
row446_img1.webp,good,0.9999,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row446_img1.webp
row173_img1.webp,good,0.9999,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row173_img1.webp
row023_img2.webp,good,0.9998,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row023_img2.webp
row287_img1.webp,good,0.9998,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row287_img1.webp
row021_img1.webp,good,0.9997,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row021_img1.webp
row031_img1.webp,good,0.9997,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row031_img1.webp
row415_img1.webp,good,0.9996,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row415_img1.webp
row363_img1.webp,good,0.9995,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row363_img1.webp
row323_img1.webp,good,0.9995,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row323_img1.webp
row318_img2.webp,good,0.9994,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row318_img2.webp
