文件名,预测,P(good),路径
row011_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row011_img1.webp
row009_img2.webp,good,0.6574,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row009_img2.webp
row009_img1.webp,bad,0.1167,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row009_img1.webp
row007_img1.webp,bad,0.0550,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row007_img1.webp
row004_img1.webp,bad,0.0004,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row004_img1.webp
row003_img1.webp,bad,0.0004,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row003_img1.webp
row005_img1.webp,bad,0.0001,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row005_img1.webp
row010_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row010_img2.webp
row012_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row012_img1.webp
row006_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row006_img1.webp
row006_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row006_img2.webp
row010_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row010_img1.webp
row005_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row005_img2.webp
row008_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row008_img1.webp
row002_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_douyin\row002_img1.webp
