文件名,预测,P(good),路径
row060_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row060_img1.webp
row163_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row163_img2.webp
row402_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row402_img1.webp
row402_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row402_img2.webp
row364_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row364_img2.webp
row146_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row146_img2.webp
row419_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row419_img2.webp
row306_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row306_img1.webp
row401_img1.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row401_img1.webp
row408_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row408_img2.webp
row078_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row078_img2.webp
row194_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row194_img2.webp
row031_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row031_img2.webp
row484_img2.webp,good,1.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row484_img2.webp
row325_img2.webp,good,0.9999,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row325_img2.webp
row352_img1.webp,good,0.9999,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row352_img1.webp
row325_img1.webp,good,0.9999,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row325_img1.webp
row022_img1.webp,good,0.9998,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row022_img1.webp
row364_img1.webp,good,0.9997,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row364_img1.webp
row140_img2.webp,good,0.9996,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row140_img2.webp
row194_img1.webp,good,0.9995,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row194_img1.webp
row125_img1.webp,good,0.9995,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row125_img1.webp
row118_img2.webp,good,0.9994,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row118_img2.webp
row329_img1.webp,good,0.9994,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row329_img1.webp
row136_img2.webp,good,0.9993,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row136_img2.webp
row407_img2.webp,good,0.9993,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row407_img2.webp
row040_img1.webp,good,0.9993,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row040_img1.webp
row328_img1.webp,good,0.9992,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row328_img1.webp
row135_img2.webp,good,0.9991,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row135_img2.webp
row201_img2.webp,good,0.9991,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row201_img2.webp
row146_img1.webp,good,0.9989,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row146_img1.webp
row485_img2.webp,good,0.9988,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row485_img2.webp
row420_img2.webp,good,0.9985,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row420_img2.webp
row020_img2.webp,good,0.9984,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row020_img2.webp
row183_img1.webp,good,0.9983,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row183_img1.webp
row341_img2.webp,good,0.9983,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row341_img2.webp
row183_img2.webp,good,0.9982,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row183_img2.webp
row022_img2.webp,good,0.9981,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row022_img2.webp
row356_img2.webp,good,0.9981,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row356_img2.webp
row301_img1.webp,good,0.9981,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row301_img1.webp
row352_img2.webp,good,0.9980,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row352_img2.webp
row401_img2.webp,good,0.9980,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row401_img2.webp
row389_img2.webp,good,0.9979,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row389_img2.webp
row356_img1.webp,good,0.9977,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row356_img1.webp
row483_img1.webp,good,0.9972,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row483_img1.webp
row315_img2.webp,good,0.9967,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row315_img2.webp
row381_img1.webp,good,0.9964,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row381_img1.webp
row125_img2.webp,good,0.9964,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row125_img2.webp
row229_img1.webp,good,0.9953,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row229_img1.webp
row150_img1.webp,good,0.9945,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row150_img1.webp
row483_img2.webp,good,0.9944,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row483_img2.webp
row341_img1.webp,good,0.9938,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row341_img1.webp
row201_img1.webp,good,0.9937,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row201_img1.webp
row118_img1.webp,good,0.9933,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row118_img1.webp
