盲标编号,batch,原文件名,model_P_good,model_pred,原路径,你的盲标(good/bad)
q001.webp,maozi_xhs,row094_img1.webp,0.4966,bad,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row094_img1.webp,
q002.webp,bbm_xhs,row257_img1.webp,0.5038,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row257_img1.webp,
q003.webp,bbm_xhs,row158_img2.webp,0.5042,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row158_img2.webp,
q004.webp,bbm_xhs,row345_img1.webp,0.5064,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row345_img1.webp,
q005.webp,bbm_xhs,row198_img1.webp,0.5066,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row198_img1.webp,
q006.webp,bbm_xhs,row160_img2.webp,0.5094,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row160_img2.webp,
q007.webp,maozi_xhs,row365_img1.webp,0.5138,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row365_img1.webp,
q008.webp,maozi_xhs,row345_img1.webp,0.5246,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row345_img1.webp,
q009.webp,maozi_xhs,row047_img2.webp,0.4668,bad,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row047_img2.webp,
q010.webp,maozi_xhs,row021_img1.webp,0.4636,bad,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row021_img1.webp,
q011.webp,maozi_xhs,row345_img2.webp,0.5376,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row345_img2.webp,
q012.webp,bbm_douyin,row157_img2.webp,0.5399,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row157_img2.webp,
q013.webp,bbm_xhs,row102_img2.webp,0.5455,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row102_img2.webp,
q014.webp,bbm_xhs,row003_img1.webp,0.4510,bad,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row003_img1.webp,
q015.webp,bbm_xhs,row123_img2.webp,0.5497,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row123_img2.webp,
q016.webp,bbm_xhs,row262_img2.webp,0.4453,bad,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row262_img2.webp,
q017.webp,maozi_xhs,row153_img2.webp,0.4444,bad,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row153_img2.webp,
q018.webp,maozi_xhs,row328_img2.webp,0.4368,bad,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row328_img2.webp,
q019.webp,bbm_xhs,row137_img2.webp,0.4318,bad,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row137_img2.webp,
q020.webp,bbm_xhs,row233_img2.webp,0.4288,bad,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row233_img2.webp,
q021.webp,maozi_xhs,row322_img2.webp,0.4251,bad,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row322_img2.webp,
q022.webp,bbm_xhs,row109_img2.webp,0.5782,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row109_img2.webp,
q023.webp,maozi_xhs,row361_img1.webp,0.5916,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row361_img1.webp,
q024.webp,bbm_xhs,row212_img2.webp,0.4078,bad,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_xhs\row212_img2.webp,
q025.webp,bbm_douyin,row048_img1.webp,0.5944,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row048_img1.webp,
q026.webp,maozi_xhs,row186_img1.webp,0.5945,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row186_img1.webp,
q027.webp,maozi_xhs,row405_img1.webp,0.5992,good,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row405_img1.webp,
